sentence	aspect	polarity
I would not recommend this product to anyone.	laptop general	negative
Screen is awesome, battery life is good.	battery operation performance	positive
Screen is awesome, battery life is good.	display general	positive
Really like the textured surface which shows no fingerprints.	laptop quality	positive
Good laptop for the money.	laptop general	positive
Good laptop for the money.	laptop price	neutral
Speakers don't get that loud, but good enough.	multimedia devices quality	neutral
They don't crash.	laptop operation performance	positive
If a website ever freezes (which is rare), its really easy to force quit.	laptop operation performance	positive
Never been hacked.	laptop quality	positive
No viruses.	laptop quality	positive
I have had to call with a few questions or issues and they have helped me for free, even without the warranty.	support quality	positive
A mac is very easy to use and it simply makes sense.	laptop usability	positive
Its also FUN to use!	laptop general	positive
The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.	software design features	positive
The programs are great, like iphoto (love the editing capabilities), imail (which can incorporate with the address book on the ipod and ipad), imovie, etc.	software general	positive
She said its very user friendly.	software usability	positive
However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.	keyboard design features	positive
However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.	laptop design features	positive
